poseId,Timestamp,Latitude,Longitude,Altitude,Nbsat,valid_data
0,1314122247.184485,0.000000,0.000000,0.000000,0,0
1,1314122342.037596,0.000000,0.000000,0.000000,0,0
2,1314122342.085487,0.000000,0.000000,0.000000,0,0
3,1314122342.139454,0.000000,0.000000,0.000000,0,0
4,1314122342.185693,0.000000,0.000000,0.000000,0,0
5,1314122342.237451,0.000000,0.000000,0.000000,0,0
6,1314122342.285647,0.000000,0.000000,0.000000,0,0
7,1314122342.337456,0.000000,0.000000,0.000000,0,0
8,1314122342.384792,0.000000,0.000000,0.000000,0,0
9,1314122342.438549,0.000000,0.000000,0.000000,0,0
10,1314122342.485663,0.000000,0.000000,0.000000,0,0
11,1314122342.537458,0.000000,0.000000,0.000000,0,0
12,1314122342.584697,0.000000,0.000000,0.000000,0,0
13,1314122342.637461,0.000000,0.000000,0.000000,0,0
14,1314122342.685497,0.000000,0.000000,0.000000,0,0
15,1314122342.738877,0.000000,0.000000,0.000000,0,0
16,1314122342.785710,0.000000,0.000000,0.000000,0,0
17,1314122342.837604,0.000000,0.000000,0.000000,0,0
18,1314122342.885482,0.000000,0.000000,0.000000,0,0
19,1314122342.937619,0.000000,0.000000,0.000000,0,0
20,1314122342.985601,0.000000,0.000000,0.000000,0,0
21,1314122343.037474,0.000000,0.000000,0.000000,0,0
22,1314122343.084533,0.000000,0.000000,0.000000,0,0
23,1314122343.137458,0.000000,0.000000,0.000000,0,0
24,1314122343.184553,0.000000,0.000000,0.000000,0,0
25,1314122343.237489,0.000000,0.000000,0.000000,0,0
26,1314122343.289576,0.000000,0.000000,0.000000,0,0
27,1314122343.336595,0.000000,0.000000,0.000000,0,0
28,1314122343.384528,0.000000,0.000000,0.000000,0,0
29,1314122343.437483,0.000000,0.000000,0.000000,0,0
30,1314122343.485385,0.000000,0.000000,0.000000,0,0
31,1314122343.537449,0.000000,0.000000,0.000000,0,0
32,1314122343.585350,0.000000,0.000000,0.000000,0,0
33,1314122343.636455,0.000000,0.000000,0.000000,0,0
34,1314122343.685496,0.000000,0.000000,0.000000,0,0
35,1314122343.736519,0.000000,0.000000,0.000000,0,0
